lawID,law_book,article,title,content,bookTitle,citations
214430,ZPO,§ 92,Kosten bei teilweisem Obsiegen,"(1) Wenn jede Partei teils obsiegt, teils unterliegt, so sind die Kosten gegeneinander aufzuheben oder verhältnismäßig zu teilen. Sind die Kosten gegeneinander aufgehoben, so fallen die Gerichtskosten jeder Partei zur Hälfte zur Last.
          
            (2) Das Gericht kann der einen Partei die gesamten Prozesskosten auferlegen, wenn 
            
              1.
              
                die Zuvielforderung der anderen Partei verhältnismäßig geringfügig war und keine oder nur geringfügig höhere Kosten veranlasst hat oder
              
               
              2.
              
                der Betrag der Forderung der anderen Partei von der Festsetzung durch richterliches Ermessen, von der Ermittlung durch Sachverständige oder von einer gegenseitigen Berechnung abhängig war.
              
               
            
          
        ",Zivilprozessordnung,8755
214879,ZPO,§ 543,Zulassungsrevision,"
            (1) Die Revision findet nur statt, wenn sie 
            
              1.
              
                das Berufungsgericht in dem Urteil oder
              
               
              2.
              
                das Revisionsgericht auf Beschwerde gegen die Nichtzulassung
              
               
            
            zugelassen hat.
          
          
            (2) Die Revision ist zuzulassen, wenn 
            
              1.
              
                die Rechtssache grundsätzliche Bedeutung hat oder
              
               
              2.
              
                die Fortbildung des Rechts oder die Sicherung einer einheitlichen Rechtsprechung eine Entscheidung des Revisionsgerichts erfordert.
              
               
            
            Das Revisionsgericht ist an die Zulassung durch das Berufungsgericht gebunden.
          
        ",Zivilprozessordnung,8683
204591,ArbGG,§ 72,Grundsatz,"(1) Gegen das Endurteil eines Landesarbeitsgerichts findet die Revision an das Bundesarbeitsgericht statt, wenn sie in dem Urteil des Landesarbeitsgerichts oder in dem Beschluß des Bundesarbeitsgerichts nach § 72a Abs. 5 Satz 2 zugelassen worden ist. § 64 Abs. 3a ist entsprechend anzuwenden.
          
            (2) Die Revision ist zuzulassen, wenn 
            
              1.
              
                eine entscheidungserhebliche Rechtsfrage grundsätzliche Bedeutung hat,
              
               
              2.
              
                das Urteil von einer Entscheidung des Bundesverfassungsgerichts, von einer Entscheidung des Gemeinsamen Senats der obersten Gerichtshöfe des Bundes, von einer Entscheidung des Bundesarbeitsgerichts oder, solange eine Entscheidung des Bundesarbeitsgerichts in der Rechtsfrage nicht ergangen ist, von einer Entscheidung einer anderen Kammer desselben Landesarbeitsgerichts oder eines anderen Landesarbeitsgerichts abweicht und die Entscheidung auf dieser Abweichung beruht oder
              
               
              3.
              
                ein absoluter Revisionsgrund gemäß § 547 Nr. 1 bis 5 der Zivilprozessordnung oder eine entscheidungserhebliche Verletzung des Anspruchs auf rechtliches Gehör geltend gemacht wird und vorliegt.
              
               
            
             
          
          (3) Das Bundesarbeitsgericht ist an die Zulassung der Revision durch das Landesarbeitsgericht gebunden.
          (4) Gegen Urteile, durch die über die Anordnung, Abänderung oder Aufhebung eines Arrests oder einer einstweiligen Verfügung entschieden wird, ist die Revision nicht zulässig.
          (5) Für das Verfahren vor dem Bundesarbeitsgericht gelten, soweit dieses Gesetz nichts anderes bestimmt, die Vorschriften der Zivilprozeßordnung über die Revision mit Ausnahme des § 566 entsprechend.
          (6) Die Vorschriften des § 49 Abs. 1, der §§ 50, 52 und 53, des § 57 Abs. 2, des § 61 Abs. 2 und des § 63 über Ablehnung von Gerichtspersonen, Zustellung, Öffentlichkeit, Befugnisse des Vorsitzenden und der ehrenamtlichen Richter, gütliche Erledigung des Rechtsstreits sowie Inhalt des Urteils und Übersendung von Urteilen in Tarifvertragssachen gelten entsprechend.
        ",Arbeitsgerichtsgesetz,8157
214970,ZPO,§ 709,Vorläufige Vollstreckbarkeit gegen Sicherheitsleistung,"Andere Urteile sind gegen eine der Höhe nach zu bestimmende Sicherheit für vorläufig vollstreckbar zu erklären. Soweit wegen einer Geldforderung zu vollstrecken ist, genügt es, wenn die Höhe der Sicherheitsleistung in einem bestimmten Verhältnis zur Höhe des jeweils zu vollstreckenden Betrages angegeben wird. Handelt es sich um ein Urteil, das ein Versäumnisurteil aufrechterhält, so ist auszusprechen, dass die Vollstreckung aus dem Versäumnisurteil nur gegen Leistung der Sicherheit fortgesetzt werden darf.
        ",Zivilprozessordnung,7660
236605,VwGO,§ 80,,"(1) Widerspruch und Anfechtungsklage haben aufschiebende Wirkung. Das gilt auch bei rechtsgestaltenden und feststellenden Verwaltungsakten sowie bei Verwaltungsakten mit Doppelwirkung (§ 80a).
          
            (2) Die aufschiebende Wirkung entfällt nur 
            
              1.
              
                bei der Anforderung von öffentlichen Abgaben und Kosten,
              
              2.
              
                bei unaufschiebbaren Anordnungen und Maßnahmen von Polizeivollzugsbeamten,
              
              3.
              
                in anderen durch Bundesgesetz oder für Landesrecht durch Landesgesetz vorgeschriebenen Fällen, insbesondere für Widersprüche und Klagen Dritter gegen Verwaltungsakte, die Investitionen oder die Schaffung von Arbeitsplätzen betreffen,
              
              4.
              
                in den Fällen, in denen die sofortige Vollziehung im öffentlichen Interesse oder im überwiegenden Interesse eines Beteiligten von der Behörde, die den Verwaltungsakt erlassen oder über den Widerspruch zu entscheiden hat, besonders angeordnet wird.
              
            
            Die Länder können auch bestimmen, daß Rechtsbehelfe keine aufschiebende Wirkung haben, soweit sie sich gegen Maßnahmen richten, die in der Verwaltungsvollstreckung durch die Länder nach Bundesrecht getroffen werden.
          
          (3) In den Fällen des Absatzes 2 Nr. 4 ist das besondere Interesse an der sofortigen Vollziehung des Verwaltungsakts schriftlich zu begründen. Einer besonderen Begründung bedarf es nicht, wenn die Behörde bei Gefahr im Verzug, insbesondere bei drohenden Nachteilen für Leben, Gesundheit oder Eigentum vorsorglich eine als solche bezeichnete Notstandsmaßnahme im öffentlichen Interesse trifft.
          (4) Die Behörde, die den Verwaltungsakt erlassen oder über den Widerspruch zu entscheiden hat, kann in den Fällen des Absatzes 2 die Vollziehung aussetzen, soweit nicht bundesgesetzlich etwas anderes bestimmt ist. Bei der Anforderung von öffentlichen Abgaben und Kosten kann sie die Vollziehung auch gegen Sicherheit aussetzen. Die Aussetzung soll bei öffentlichen Abgaben und Kosten erfolgen, wenn ernstliche Zweifel an der Rechtmäßigkeit des angegriffenen Verwaltungsakts bestehen oder wenn die Vollziehung für den Abgaben- oder Kostenpflichtigen eine unbillige, nicht durch überwiegende öffentliche Interessen gebotene Härte zur Folge hätte.
          (5) Auf Antrag kann das Gericht der Hauptsache die aufschiebende Wirkung in den Fällen des Absatzes 2 Nr. 1 bis 3 ganz oder teilweise anordnen, im Falle des Absatzes 2 Nr. 4 ganz oder teilweise wiederherstellen. Der Antrag ist schon vor Erhebung der Anfechtungsklage zulässig. Ist der Verwaltungsakt im Zeitpunkt der Entscheidung schon vollzogen, so kann das Gericht die Aufhebung der Vollziehung anordnen. Die Wiederherstellung der aufschiebenden Wirkung kann von der Leistung einer Sicherheit oder von anderen Auflagen abhängig gemacht werden. Sie kann auch befristet werden.
          
            (6) In den Fällen des Absatzes 2 Nr. 1 ist der Antrag nach Absatz 5 nur zulässig, wenn die Behörde einen Antrag auf Aussetzung der Vollziehung ganz oder zum Teil abgelehnt hat. Das gilt nicht, wenn 
            
              1.
              
                die Behörde über den Antrag ohne Mitteilung eines zureichenden Grundes in angemessener Frist sachlich nicht entschieden hat oder
              
              2.
              
                eine Vollstreckung droht.
              
            
          
          (7) Das Gericht der Hauptsache kann Beschlüsse über Anträge nach Absatz 5 jederzeit ändern oder aufheben. Jeder Beteiligte kann die Änderung oder Aufhebung wegen veränderter oder im ursprünglichen Verfahren ohne Verschulden nicht geltend gemachter Umstände beantragen.
          (8) In dringenden Fällen kann der Vorsitzende entscheiden.
        ",Verwaltungsgerichtsordnung,6858
203741,FGO,§ 115,,"(1) Gegen das Urteil des Finanzgerichts (§ 36 Nr. 1) steht den Beteiligten die Revision an den Bundesfinanzhof zu, wenn das Finanzgericht oder auf Beschwerde gegen die Nichtzulassung der Bundesfinanzhof sie zugelassen hat.
          
            (2) Die Revision ist nur zuzulassen, wenn 
            
              1.
              
                die Rechtssache grundsätzliche Bedeutung hat,
              
               
              2.
              
                die Fortbildung des Rechts oder die Sicherung einer einheitlichen Rechtsprechung eine Entscheidung des Bundesfinanzhofs erfordert oder
              
               
              3.
              
                ein Verfahrensmangel geltend gemacht wird und vorliegt, auf dem die Entscheidung beruhen kann.
              
               
            
             
          
          (3) Der Bundesfinanzhof ist an die Zulassung gebunden.
        ",Finanzgerichtsordnung,6170
241043,BGB,§ 242,Leistung nach Treu und Glauben,"Der Schuldner ist verpflichtet, die Leistung so zu bewirken, wie Treu und Glauben mit Rücksicht auf die Verkehrssitte es erfordern.
        ",Bürgerliches Gesetzbuch,6074
216860,SGG,§ 160,,"(1) Gegen das Urteil eines Landessozialgerichts und gegen den Beschluss nach § 55a Absatz 5 Satz 1 steht den Beteiligten die Revision an das Bundessozialgericht nur zu, wenn sie in der Entscheidung des Landessozialgerichts oder in dem Beschluß des Bundessozialgerichts nach § 160a Abs. 4 Satz 1 zugelassen worden ist.
          
            (2) Sie ist nur zuzulassen, wenn 
            
              1.
              
                die Rechtssache grundsätzliche Bedeutung hat oder
              
              2.
              
                das Urteil von einer Entscheidung des Bundessozialgerichts, des Gemeinsamen Senats der obersten Gerichtshöfe des Bundes oder des Bundesverfassungsgerichts abweicht und auf dieser Abweichung beruht oder
              
              3.
              
                ein Verfahrensmangel geltend gemacht wird, auf dem die angefochtene Entscheidung beruhen kann; der geltend gemachte Verfahrensmangel kann nicht auf eine Verletzung der §§ 109 und 128 Abs. 1 Satz 1 und auf eine Verletzung des § 103 nur gestützt werden, wenn er sich auf einen Beweisantrag bezieht, dem das Landessozialgericht ohne hinreichende Begründung nicht gefolgt ist.
              
            
          
          (3) Das Bundessozialgericht ist an die Zulassung gebunden.
        ",Sozialgerichtsgesetz,6016
241090,BGB,§ 288,Verzugszinsen und sonstiger Verzugsschaden,"
            
          
          (1) Eine Geldschuld ist während des Verzugs zu verzinsen. Der Verzugszinssatz beträgt für das Jahr fünf Prozentpunkte über dem Basiszinssatz.
          (2) Bei Rechtsgeschäften, an denen ein Verbraucher nicht beteiligt ist, beträgt der Zinssatz für Entgeltforderungen neun Prozentpunkte über dem Basiszinssatz.
          (3) Der Gläubiger kann aus einem anderen Rechtsgrund höhere Zinsen verlangen.
          (4) Die Geltendmachung eines weiteren Schadens ist nicht ausgeschlossen.
          (5) Der Gläubiger einer Entgeltforderung hat bei Verzug des Schuldners, wenn dieser kein Verbraucher ist, außerdem einen Anspruch auf Zahlung einer Pauschale in Höhe von 40 Euro. Dies gilt auch, wenn es sich bei der Entgeltforderung um eine Abschlagszahlung oder sonstige Ratenzahlung handelt. Die Pauschale nach Satz 1 ist auf einen geschuldeten Schadensersatz anzurechnen, soweit der Schaden in Kosten der Rechtsverfolgung begründet ist.
          (6) Eine im Voraus getroffene Vereinbarung, die den Anspruch des Gläubigers einer Entgeltforderung auf Verzugszinsen ausschließt, ist unwirksam. Gleiches gilt für eine Vereinbarung, die diesen Anspruch beschränkt oder den Anspruch des Gläubigers einer Entgeltforderung auf die Pauschale nach Absatz 5 oder auf Ersatz des Schadens, der in Kosten der Rechtsverfolgung begründet ist, ausschließt oder beschränkt, wenn sie im Hinblick auf die Belange des Gläubigers grob unbillig ist. Eine Vereinbarung über den Ausschluss der Pauschale nach Absatz 5 oder des Ersatzes des Schadens, der in Kosten der Rechtsverfolgung begründet ist, ist im Zweifel als grob unbillig anzusehen. Die Sätze 1 bis 3 sind nicht anzuwenden, wenn sich der Anspruch gegen einen Verbraucher richtet.
        ",Bürgerliches Gesetzbuch,5963
236688,VwGO,§ 152,,"(1) Entscheidungen des Oberverwaltungsgerichts können vorbehaltlich des § 99 Abs. 2 und des § 133 Abs. 1 dieses Gesetzes sowie des § 17a Abs. 4 Satz 4 des Gerichtsverfassungsgesetzes nicht mit der Beschwerde an das Bundesverwaltungsgericht angefochten werden.
          (2) Im Verfahren vor dem Bundesverwaltungsgericht gilt für Entscheidungen des beauftragten oder ersuchten Richters oder des Urkundsbeamten der Geschäftsstelle § 151 entsprechend.
        ",Verwaltungsgerichtsordnung,5792
