config,corpus,mode,query,merge,drop_structural,rerank,fusion_w,cite_filter,state_share,two_hop,gold_set,k,recall,cases_with_hit,state_recall,hits,gold,structural,seconds,ls_depth,ls_kinds
ls_q_rubric_CEILING,combined,hybrid,rubric,roundrobin,True,,,,,only,refex,50,0.1380130874479476,0.8311688311688312,0.0,232,1681,0.0,51.5,,
ls_q_rubric_CEILING,combined,hybrid,rubric,roundrobin,True,,,,,only,refex,100,0.1624033313503866,0.8571428571428571,0.0,273,1681,0.0,51.5,,
ls_q_rubric_CEILING,combined,hybrid,rubric,roundrobin,True,,,,,only,gold,5,0.0188005711565921,0.5802469135802469,0.0,79,4202,0.0,51.5,,
ls_q_rubric_CEILING,combined,hybrid,rubric,roundrobin,True,,,,,only,gold,10,0.0335554497858162,0.8395061728395061,0.003690036900369,141,4202,0.0,51.5,,
ls_q_rubric_CEILING,combined,hybrid,rubric,roundrobin,True,,,,,only,gold,20,0.0516420752022846,0.9753086419753086,0.0079950799507995,217,4202,0.0,51.5,,
ls_q_rubric_CEILING,combined,hybrid,rubric,roundrobin,True,,,,,only,gold,50,0.0992384578772013,1.0,0.0313653136531365,417,4202,0.0,51.5,,
ls_q_rubric_CEILING,combined,hybrid,rubric,roundrobin,True,,,,,only,gold,100,0.1166111375535459,1.0,0.044280442804428,490,4202,0.0,51.5,,
ls_q_facts,combined,hybrid,facts,roundrobin,True,,,,,only,refex,5,0.0267697798929208,0.4415584415584415,0.0,45,1681,0.0,25.0,,
ls_q_facts,combined,hybrid,facts,roundrobin,True,,,,,only,refex,10,0.039857227840571,0.5064935064935064,0.0,67,1681,0.0,25.0,,
ls_q_facts,combined,hybrid,facts,roundrobin,True,,,,,only,refex,20,0.0582986317668054,0.6103896103896104,0.0,98,1681,0.0,25.0,,
ls_q_facts,combined,hybrid,facts,roundrobin,True,,,,,only,refex,50,0.1171921475312314,0.7922077922077922,0.0,197,1681,0.0,25.0,,
ls_q_facts,combined,hybrid,facts,roundrobin,True,,,,,only,refex,100,0.1344437834622248,0.8051948051948052,0.0,226,1681,0.0,25.0,,
ls_q_facts,combined,hybrid,facts,roundrobin,True,,,,,only,gold,5,0.0211803902903379,0.5555555555555556,0.011070110701107,89,4202,0.0,25.0,,
ls_q_facts,combined,hybrid,facts,roundrobin,True,,,,,only,gold,10,0.0328415040456925,0.6666666666666666,0.0202952029520295,138,4202,0.0,25.0,,
ls_q_facts,combined,hybrid,facts,roundrobin,True,,,,,only,gold,20,0.0511661113755354,0.7901234567901234,0.031980319803198,215,4202,0.0,25.0,,
ls_q_facts,combined,hybrid,facts,roundrobin,True,,,,,only,gold,50,0.1078058067586863,0.9629629629629628,0.0707257072570725,453,4202,0.0,25.0,,
ls_q_facts,combined,hybrid,facts,roundrobin,True,,,,,only,gold,100,0.1201808662541646,0.9876543209876544,0.0756457564575645,505,4202,0.0,25.0,,
ls_then_search,combined,hybrid,rewriter,rrf,True,,,,,first,refex,5,0.0428316478286734,0.5324675324675324,0.0,72,1681,0.0,83.5,,
ls_then_search,combined,hybrid,rewriter,rrf,True,,,,,first,refex,10,0.0672218917311124,0.6753246753246753,0.0,113,1681,0.0,83.5,,
ls_then_search,combined,hybrid,rewriter,rrf,True,,,,,first,refex,20,0.1076740035693039,0.7792207792207793,0.0,181,1681,0.0,83.5,,
ls_then_search,combined,hybrid,rewriter,rrf,True,,,,,first,refex,50,0.1844140392623438,0.8311688311688312,0.0,310,1681,0.0,83.5,,
ls_then_search,combined,hybrid,rewriter,rrf,True,,,,,first,refex,100,0.2278405710886377,0.9090909090909092,0.0,383,1681,0.0,83.5,,
ls_then_search,combined,hybrid,rewriter,rrf,True,,,,,first,gold,5,0.0345073774393146,0.7901234567901234,0.020910209102091,145,4202,0.0,83.5,,
ls_then_search,combined,hybrid,rewriter,rrf,True,,,,,first,gold,10,0.0580675868633983,0.9012345679012346,0.041820418204182,244,4202,0.0,83.5,,
ls_then_search,combined,hybrid,rewriter,rrf,True,,,,,first,gold,20,0.0956687291765825,0.9876543209876544,0.0719557195571955,402,4202,0.0,83.5,,
ls_then_search,combined,hybrid,rewriter,rrf,True,,,,,first,gold,50,0.1801523084245597,1.0,0.1402214022140221,757,4202,0.0,83.5,,
ls_then_search,combined,hybrid,rewriter,rrf,True,,,,,first,gold,100,0.2413136601618277,1.0,0.2170971709717097,1014,4202,0.0,83.5,,
ls_deep50,combined,hybrid,rewriter,rrf,True,,,,,first,refex,5,0.0404521118381915,0.4935064935064935,0.0,68,1681,0.0,87.0,50.0,
ls_deep50,combined,hybrid,rewriter,rrf,True,,,,,first,refex,10,0.0648423557406305,0.6233766233766234,0.0,109,1681,0.0,87.0,50.0,
ls_deep50,combined,hybrid,rewriter,rrf,True,,,,,first,refex,20,0.1029149315883402,0.7272727272727273,0.0,173,1681,0.0,87.0,50.0,
ls_deep50,combined,hybrid,rewriter,rrf,True,,,,,first,refex,50,0.1903628792385484,0.8571428571428571,0.0,320,1681,0.0,87.0,50.0,
ls_deep50,combined,hybrid,rewriter,rrf,True,,,,,first,refex,100,0.2671029149315883,0.8701298701298701,0.0,449,1681,0.0,87.0,50.0,
ls_deep50,combined,hybrid,rewriter,rrf,True,,,,,first,gold,5,0.0345073774393146,0.8395061728395061,0.0227552275522755,145,4202,0.0,87.0,50.0,
ls_deep50,combined,hybrid,rewriter,rrf,True,,,,,first,gold,10,0.0554497858162779,0.925925925925926,0.040590405904059,233,4202,0.0,87.0,50.0,
ls_deep50,combined,hybrid,rewriter,rrf,True,,,,,first,gold,20,0.0930509281294621,1.0,0.067650676506765,391,4202,0.0,87.0,50.0,
ls_deep50,combined,hybrid,rewriter,rrf,True,,,,,first,gold,50,0.1846739647786768,1.0,0.1482164821648216,776,4202,0.0,87.0,50.0,
ls_deep50,combined,hybrid,rewriter,rrf,True,,,,,first,gold,100,0.2751070918610185,1.0,0.2343173431734317,1156,4202,0.0,87.0,50.0,
ls_shallow10,combined,hybrid,rewriter,rrf,True,,,,,first,refex,5,0.0475907198096371,0.5714285714285714,0.0,80,1681,0.0,81.8,10.0,
ls_shallow10,combined,hybrid,rewriter,rrf,True,,,,,first,refex,10,0.0725758477096966,0.7142857142857143,0.0,122,1681,0.0,81.8,10.0,
ls_shallow10,combined,hybrid,rewriter,rrf,True,,,,,first,refex,20,0.1082688875669244,0.7922077922077922,0.0,182,1681,0.0,81.8,10.0,
ls_shallow10,combined,hybrid,rewriter,rrf,True,,,,,first,refex,50,0.165377751338489,0.8311688311688312,0.0,278,1681,0.0,81.8,10.0,
ls_shallow10,combined,hybrid,rewriter,rrf,True,,,,,first,refex,100,0.1945270672218917,0.8831168831168831,0.0,327,1681,0.0,81.8,10.0,
ls_shallow10,combined,hybrid,rewriter,rrf,True,,,,,first,gold,5,0.0359352689195621,0.7777777777777778,0.020910209102091,151,4202,0.0,81.8,10.0,
ls_shallow10,combined,hybrid,rewriter,rrf,True,,,,,first,gold,10,0.059971442170395,0.9012345679012346,0.0436654366543665,252,4202,0.0,81.8,10.0,
ls_shallow10,combined,hybrid,rewriter,rrf,True,,,,,first,gold,20,0.0961446930033317,0.9753086419753086,0.067650676506765,404,4202,0.0,81.8,10.0,
