index,rank,short,med
59,48,mistral-large-2512,20.0
60,66,mistral-large-2512,30.0
61,29,mistral-large-2512,50.0
62,64,mistral-large-2512,40.0
63,71,mistral-large-2512,30.0
64,21,mistral-large-2512,60.0
65,68,mistral-large-2512,40.0
66,70,mistral-large-2512,50.0
67,38,mistral-large-2512,40.0
68,23,mistral-large-2512,50.0
69,78,mistral-large-2512,30.0
70,69,mistral-large-2512,30.0
71,73,mistral-large-2512,30.0
72,40,mistral-large-2512,30.0
73,5,mistral-large-2512,60.0
74,63,mistral-large-2512,30.0
75,45,mistral-large-2512,45.0
76,3,mistral-large-2512,70.0
77,27,mistral-large-2512,20.0
78,62,mistral-large-2512,30.0
79,46,mistral-large-2512,40.0
80,12,mistral-large-2512,40.0
0,22,DeepSeek-V4-Flash-0731,40.0
1,55,DeepSeek-V4-Flash-0731,40.0
2,13,DeepSeek-V4-Flash-0731,60.0
3,7,DeepSeek-V4-Flash-0731,60.0
4,76,DeepSeek-V4-Flash-0731,40.0
6,75,DeepSeek-V4-Flash-0731,30.0
5,42,DeepSeek-V4-Flash-0731,30.0
7,56,DeepSeek-V4-Flash-0731,30.0
8,43,DeepSeek-V4-Flash-0731,50.0
9,32,DeepSeek-V4-Flash-0731,50.0
10,52,DeepSeek-V4-Flash-0731,50.0
12,1,DeepSeek-V4-Flash-0731,50.0
11,57,DeepSeek-V4-Flash-0731,20.0
13,47,DeepSeek-V4-Flash-0731,40.0
16,16,DeepSeek-V4-Flash-0731,50.0
15,28,DeepSeek-V4-Flash-0731,40.0
14,74,DeepSeek-V4-Flash-0731,20.0
17,25,DeepSeek-V4-Flash-0731,50.0
18,61,DeepSeek-V4-Flash-0731,40.0
19,26,DeepSeek-V4-Flash-0731,60.0
20,50,DeepSeek-V4-Flash-0731,30.0
21,30,DeepSeek-V4-Flash-0731,50.0
22,51,DeepSeek-V4-Flash-0731,60.0
23,19,DeepSeek-V4-Flash-0731,40.0
24,79,DeepSeek-V4-Flash-0731,30.0
25,37,DeepSeek-V4-Flash-0731,40.0
26,33,DeepSeek-V4-Flash-0731,50.0
29,6,DeepSeek-V4-Flash-0731,40.0
27,81,DeepSeek-V4-Flash-0731,30.0
28,77,DeepSeek-V4-Flash-0731,30.0
30,15,DeepSeek-V4-Flash-0731,30.0
31,60,DeepSeek-V4-Flash-0731,40.0
32,31,DeepSeek-V4-Flash-0731,40.0
34,54,DeepSeek-V4-Flash-0731,30.0
33,67,DeepSeek-V4-Flash-0731,60.0
35,2,DeepSeek-V4-Flash-0731,60.0
37,59,DeepSeek-V4-Flash-0731,30.0
36,20,DeepSeek-V4-Flash-0731,50.0
38,24,DeepSeek-V4-Flash-0731,60.0
40,17,DeepSeek-V4-Flash-0731,30.0
39,11,DeepSeek-V4-Flash-0731,50.0
41,49,DeepSeek-V4-Flash-0731,40.0
42,65,DeepSeek-V4-Flash-0731,50.0
43,53,DeepSeek-V4-Flash-0731,70.0
