config,corpus,mode,query,merge,drop_structural,rerank,gold_set,k,recall,cases_with_hit,state_recall,hits,gold,structural,seconds,fusion_w,cite_filter,state_share,pool,two_hop,ls_depth,ls_kinds
mode_vector,combined,vector,rewriter,roundrobin,True,,gold,5,0.0178486435030937,0.6419753086419753,0.0289052890528905,75,4202,0.0,60.8,,,,,,,
mode_vector,combined,vector,rewriter,roundrobin,True,,gold,10,0.0316515944788196,0.7777777777777778,0.047970479704797,133,4202,0.0,60.8,,,,,,,
mode_vector,combined,vector,rewriter,roundrobin,True,,gold,20,0.0454545454545454,0.8641975308641975,0.066420664206642,191,4202,0.0,60.8,,,,,,,
mode_vector,combined,vector,rewriter,roundrobin,True,,gold,50,0.0752022846263684,0.925925925925926,0.1008610086100861,316,4202,0.0,60.8,,,,,,,
mode_vector,combined,vector,rewriter,roundrobin,True,,gold,100,0.1099476439790576,0.9753086419753086,0.1414514145141451,462,4202,0.0,60.8,,,,,,,
query_facts,combined,hybrid,facts,roundrobin,True,,refex,5,0.0065437239738251,0.1298701298701298,0.0,11,1681,0.0,52.0,,,,,,,
query_facts,combined,hybrid,facts,roundrobin,True,,refex,10,0.0101130279595478,0.1948051948051948,0.0,17,1681,0.0,52.0,,,,,,,
query_facts,combined,hybrid,facts,roundrobin,True,,refex,20,0.0166567519333729,0.2727272727272727,0.0,28,1681,0.0,52.0,,,,,,,
query_facts,combined,hybrid,facts,roundrobin,True,,refex,50,0.023200475907198,0.3246753246753247,0.0,39,1681,0.0,52.0,,,,,,,
query_facts,combined,hybrid,facts,roundrobin,True,,refex,100,0.032123735871505,0.3636363636363636,0.0,54,1681,0.0,52.0,,,,,,,
query_facts,combined,hybrid,facts,roundrobin,True,,gold,5,0.0076154212279866,0.3086419753086419,0.011070110701107,32,4202,0.0,52.0,,,,,,,
query_facts,combined,hybrid,facts,roundrobin,True,,gold,10,0.0107091861018562,0.4074074074074074,0.0153751537515375,45,4202,0.0,52.0,,,,,,,
query_facts,combined,hybrid,facts,roundrobin,True,,gold,20,0.0161827701094716,0.4691358024691358,0.019680196801968,68,4202,0.0,52.0,,,,,,,
query_facts,combined,hybrid,facts,roundrobin,True,,gold,50,0.0230842455973346,0.5555555555555556,0.028290282902829,97,4202,0.0,52.0,,,,,,,
query_facts,combined,hybrid,facts,roundrobin,True,,gold,100,0.0297477391718229,0.6419753086419753,0.0362853628536285,125,4202,0.0,52.0,,,,,,,
query_sentences,combined,hybrid,sentences,roundrobin,True,,refex,5,0.007733491969066,0.1688311688311688,0.0,13,1681,0.0,167.6,,,,,,,
query_sentences,combined,hybrid,sentences,roundrobin,True,,refex,10,0.0172516359309934,0.3376623376623376,0.0,29,1681,0.0,167.6,,,,,,,
query_sentences,combined,hybrid,sentences,roundrobin,True,,refex,20,0.0261748958953004,0.3766233766233766,0.0,44,1681,0.0,167.6,,,,,,,
query_sentences,combined,hybrid,sentences,roundrobin,True,,refex,50,0.041046995835812,0.4675324675324675,0.0,69,1681,0.0,167.6,,,,,,,
query_sentences,combined,hybrid,sentences,roundrobin,True,,refex,100,0.0571088637715645,0.5584415584415584,0.0,96,1681,0.0,167.6,,,,,,,
query_sentences,combined,hybrid,sentences,roundrobin,True,,gold,5,0.0088053307948595,0.4074074074074074,0.0141451414514145,37,4202,0.0,167.6,,,,,,,
query_sentences,combined,hybrid,sentences,roundrobin,True,,gold,10,0.0168967158495954,0.5925925925925926,0.023370233702337,71,4202,0.0,167.6,,,,,,,
query_sentences,combined,hybrid,sentences,roundrobin,True,,gold,20,0.0273679200380771,0.6790123456790124,0.038130381303813,115,4202,0.0,167.6,,,,,,,
query_sentences,combined,hybrid,sentences,roundrobin,True,,gold,50,0.0499762018086625,0.8641975308641975,0.0731857318573185,210,4202,0.0,167.6,,,,,,,
query_sentences,combined,hybrid,sentences,roundrobin,True,,gold,100,0.0683008091385054,0.9382716049382716,0.1002460024600246,287,4202,0.0,167.6,,,,,,,
query_rubric_CEILING,combined,hybrid,rubric,roundrobin,True,,refex,5,0.0035693039857227,0.0779220779220779,0.0,6,1681,0.0,113.6,,,,,,,
query_rubric_CEILING,combined,hybrid,rubric,roundrobin,True,,refex,10,0.0071386079714455,0.1558441558441558,0.0,12,1681,0.0,113.6,,,,,,,
query_rubric_CEILING,combined,hybrid,rubric,roundrobin,True,,refex,20,0.0208209399167162,0.4025974025974026,0.0,35,1681,0.0,113.6,,,,,,,
query_rubric_CEILING,combined,hybrid,rubric,roundrobin,True,,refex,50,0.0368828078524687,0.5844155844155844,0.0,62,1681,0.0,113.6,,,,,,,
query_rubric_CEILING,combined,hybrid,rubric,roundrobin,True,,refex,100,0.056513979773944,0.6753246753246753,0.0,95,1681,0.0,113.6,,,,,,,
query_rubric_CEILING,combined,hybrid,rubric,roundrobin,True,,gold,5,0.0049976201808662,0.2469135802469135,0.0079950799507995,21,4202,0.0,113.6,,,,,,,
query_rubric_CEILING,combined,hybrid,rubric,roundrobin,True,,gold,10,0.0080913850547358,0.3580246913580246,0.011070110701107,34,4202,0.0,113.6,,,,,,,
query_rubric_CEILING,combined,hybrid,rubric,roundrobin,True,,gold,20,0.0180866254164683,0.654320987654321,0.018450184501845,76,4202,0.0,113.6,,,,,,,
query_rubric_CEILING,combined,hybrid,rubric,roundrobin,True,,gold,50,0.02855782960495,0.7901234567901234,0.0252152521525215,120,4202,0.0,113.6,,,,,,,
query_rubric_CEILING,combined,hybrid,rubric,roundrobin,True,,gold,100,0.0423607805806758,0.8888888888888888,0.0362853628536285,178,4202,0.0,113.6,,,,,,,
query_solution_CEILING,combined,hybrid,solution,roundrobin,True,,refex,5,0.0130874479476502,0.2467532467532467,0.0,22,1681,0.0,38.1,,,,,,,
query_solution_CEILING,combined,hybrid,solution,roundrobin,True,,refex,10,0.0196311719214753,0.3116883116883117,0.0,33,1681,0.0,38.1,,,,,,,
query_solution_CEILING,combined,hybrid,solution,roundrobin,True,,refex,20,0.0249851279000594,0.3506493506493506,0.0,42,1681,0.0,38.1,,,,,,,
query_solution_CEILING,combined,hybrid,solution,roundrobin,True,,refex,50,0.0529446757882213,0.5974025974025974,0.0,89,1681,0.0,38.1,,,,,,,
query_solution_CEILING,combined,hybrid,solution,roundrobin,True,,refex,100,0.0791195716835217,0.6883116883116883,0.0,133,1681,0.0,38.1,,,,,,,
query_solution_CEILING,combined,hybrid,solution,roundrobin,True,,gold,5,0.0176106615897191,0.6049382716049383,0.029520295202952,74,4202,0.0,38.1,,,,,,,
query_solution_CEILING,combined,hybrid,solution,roundrobin,True,,gold,10,0.0266539742979533,0.691358024691358,0.0436654366543665,112,4202,0.0,38.1,,,,,,,
query_solution_CEILING,combined,hybrid,solution,roundrobin,True,,gold,20,0.0368871965730604,0.7777777777777778,0.0621156211562115,155,4202,0.0,38.1,,,,,,,
query_solution_CEILING,combined,hybrid,solution,roundrobin,True,,gold,50,0.0597334602570204,0.8641975308641975,0.087330873308733,251,4202,0.0,38.1,,,,,,,
query_solution_CEILING,combined,hybrid,solution,roundrobin,True,,gold,100,0.0866254164683484,0.8888888888888888,0.1205412054120541,364,4202,0.0,38.1,,,,,,,
merge_concat,combined,hybrid,rewriter,concat,True,,refex,5,0.0107079119571683,0.2077922077922078,0.0,18,1681,0.0,14.5,,,,,,,
merge_concat,combined,hybrid,rewriter,concat,True,,refex,10,0.0196311719214753,0.3246753246753247,0.0,33,1681,0.0,14.5,,,,,,,
merge_concat,combined,hybrid,rewriter,concat,True,,refex,20,0.0249851279000594,0.3636363636363636,0.0,42,1681,0.0,14.5,,,,,,,
merge_concat,combined,hybrid,rewriter,concat,True,,refex,50,0.0452111838191552,0.5194805194805194,0.0,76,1681,0.0,14.5,,,,,,,
merge_concat,combined,hybrid,rewriter,concat,True,,refex,100,0.065437239738251,0.6103896103896104,0.0,110,1681,0.0,14.5,,,,,,,
merge_concat,combined,hybrid,rewriter,concat,True,,gold,5,0.0161827701094716,0.5061728395061729,0.027060270602706,68,4202,0.0,14.5,,,,,,,
merge_concat,combined,hybrid,rewriter,concat,True,,gold,10,0.0264159923845787,0.6666666666666666,0.043050430504305,111,4202,0.0,14.5,,,,,,,
merge_concat,combined,hybrid,rewriter,concat,True,,gold,20,0.03998096144693,0.8395061728395061,0.0658056580565805,168,4202,0.0,14.5,,,,,,,
merge_concat,combined,hybrid,rewriter,concat,True,,gold,50,0.0694907187053783,0.9382716049382716,0.1082410824108241,292,4202,0.0,14.5,,,,,,,
merge_concat,combined,hybrid,rewriter,concat,True,,gold,100,0.0973346025702046,0.9629629629629628,0.1451414514145141,409,4202,0.0,14.5,,,,,,,
merge_rrf,combined,hybrid,rewriter,rrf,True,,refex,5,0.0220107079119571,0.3636363636363636,0.0,37,1681,0.0,72.6,,,,,,,
merge_rrf,combined,hybrid,rewriter,rrf,True,,refex,10,0.0339083878643664,0.5194805194805194,0.0,57,1681,0.0,72.6,,,,,,,
merge_rrf,combined,hybrid,rewriter,rrf,True,,refex,20,0.0469958358120166,0.6103896103896104,0.0,79,1681,0.0,72.6,,,,,,,
merge_rrf,combined,hybrid,rewriter,rrf,True,,refex,50,0.0666270077334919,0.7142857142857143,0.0,112,1681,0.0,72.6,,,,,,,
merge_rrf,combined,hybrid,rewriter,rrf,True,,refex,100,0.0939916716240333,0.7662337662337663,0.0,158,1681,0.0,72.6,,,,,,,
merge_rrf,combined,hybrid,rewriter,rrf,True,,gold,5,0.02284626368396,0.6790123456790124,0.0276752767527675,96,4202,0.0,72.6,,,,,,,
merge_rrf,combined,hybrid,rewriter,rrf,True,,gold,10,0.0349833412660637,0.8024691358024691,0.043050430504305,147,4202,0.0,72.6,,,,,,,
merge_rrf,combined,hybrid,rewriter,rrf,True,,gold,20,0.0504521656354117,0.9012345679012346,0.0633456334563345,212,4202,0.0,72.6,,,,,,,
merge_rrf,combined,hybrid,rewriter,rrf,True,,gold,50,0.0851975249881009,0.9753086419753086,0.1162361623616236,358,4202,0.0,72.6,,,,,,,
merge_rrf,combined,hybrid,rewriter,rrf,True,,gold,100,0.1123274631128034,0.9753086419753086,0.1500615006150061,472,4202,0.0,72.6,,,,,,,
nostructural,combined,hybrid,rewriter,roundrobin,False,,refex,5,0.015466983938132,0.2857142857142857,0.0,26,1681,0.0320987654320987,54.5,,,,,,,
nostructural,combined,hybrid,rewriter,roundrobin,False,,refex,10,0.0226055919095776,0.3896103896103896,0.0,38,1681,0.0320987654320987,54.5,,,,,,,
nostructural,combined,hybrid,rewriter,roundrobin,False,,refex,20,0.032123735871505,0.4805194805194805,0.0,54,1681,0.0320987654320987,54.5,,,,,,,
nostructural,combined,hybrid,rewriter,roundrobin,False,,refex,50,0.0588935157644259,0.6623376623376623,0.0,99,1681,0.0320987654320987,54.5,,,,,,,
nostructural,combined,hybrid,rewriter,roundrobin,False,,refex,100,0.082093991671624,0.7272727272727273,0.0,138,1681,0.0320987654320987,54.5,,,,,,,
nostructural,combined,hybrid,rewriter,roundrobin,False,,gold,5,0.0180866254164683,0.6419753086419753,0.028290282902829,76,4202,0.0320987654320987,54.5,,,,,,,
nostructural,combined,hybrid,rewriter,roundrobin,False,,gold,10,0.0261780104712041,0.7530864197530864,0.03690036900369,110,4202,0.0320987654320987,54.5,,,,,,,
nostructural,combined,hybrid,rewriter,roundrobin,False,,gold,20,0.0433127082341742,0.8765432098765432,0.063960639606396,182,4202,0.0320987654320987,54.5,,,,,,,
nostructural,combined,hybrid,rewriter,roundrobin,False,,gold,50,0.0683008091385054,0.9753086419753086,0.0916359163591635,287,4202,0.0320987654320987,54.5,,,,,,,
nostructural,combined,hybrid,rewriter,roundrobin,False,,gold,100,0.0959067110899571,0.9753086419753086,0.1266912669126691,403,4202,0.0320987654320987,54.5,,,,,,,
rw_statute,combined,hybrid,rw_statute,roundrobin,True,,refex,5,0.0130874479476502,0.2467532467532467,0.0,22,1681,0.0,77.5,,,,,,,
rw_statute,combined,hybrid,rw_statute,roundrobin,True,,refex,10,0.0208209399167162,0.3506493506493506,0.0,35,1681,0.0,77.5,,,,,,,
rw_statute,combined,hybrid,rw_statute,roundrobin,True,,refex,20,0.0303390838786436,0.4155844155844156,0.0,51,1681,0.0,77.5,,,,,,,
rw_statute,combined,hybrid,rw_statute,roundrobin,True,,refex,50,0.0499702558001189,0.5714285714285714,0.0,84,1681,0.0,77.5,,,,,,,
rw_statute,combined,hybrid,rw_statute,roundrobin,True,,refex,100,0.0636525877453896,0.6493506493506493,0.0,107,1681,0.0,77.5,,,,,,,
rw_statute,combined,hybrid,rw_statute,roundrobin,True,,gold,5,0.010233222275107,0.4074074074074074,0.0092250922509225,43,4202,0.0,77.5,,,,,,,
rw_statute,combined,hybrid,rw_statute,roundrobin,True,,gold,10,0.0161827701094716,0.5679012345679012,0.015990159901599,68,4202,0.0,77.5,,,,,,,
rw_statute,combined,hybrid,rw_statute,roundrobin,True,,gold,20,0.0283198476915754,0.7407407407407407,0.033210332103321,119,4202,0.0,77.5,,,,,,,
rw_statute,combined,hybrid,rw_statute,roundrobin,True,,gold,50,0.0445026178010471,0.8888888888888888,0.050430504305043,187,4202,0.0,77.5,,,,,,,
rw_statute,combined,hybrid,rw_statute,roundrobin,True,,gold,100,0.06282722513089,0.9629629629629628,0.07380073800738,264,4202,0.0,77.5,,,,,,,
rw_citations,combined,hybrid,rw_citations,roundrobin,True,,refex,5,0.0,0.0,0.0,0,1681,0.0,124.5,,,,,,,
rw_citations,combined,hybrid,rw_citations,roundrobin,True,,refex,10,0.0017846519928613,0.0389610389610389,0.0,3,1681,0.0,124.5,,,,,,,
rw_citations,combined,hybrid,rw_citations,roundrobin,True,,refex,20,0.007733491969066,0.1688311688311688,0.0,13,1681,0.0,124.5,,,,,,,
rw_citations,combined,hybrid,rw_citations,roundrobin,True,,refex,50,0.032123735871505,0.4545454545454545,0.0,54,1681,0.0,124.5,,,,,,,
rw_citations,combined,hybrid,rw_citations,roundrobin,True,,refex,100,0.0606781677572873,0.5974025974025974,0.0,102,1681,0.0,124.5,,,,,,,
rw_citations,combined,hybrid,rw_citations,roundrobin,True,,gold,5,0.0,0.0,0.0,0,4202,0.0,124.5,,,,,,,
rw_citations,combined,hybrid,rw_citations,roundrobin,True,,gold,10,0.0026178010471204,0.1234567901234567,0.0030750307503075,11,4202,0.0,124.5,,,,,,,
rw_citations,combined,hybrid,rw_citations,roundrobin,True,,gold,20,0.008567348881485,0.345679012345679,0.007380073800738,36,4202,0.0,124.5,,,,,,,
rw_citations,combined,hybrid,rw_citations,roundrobin,True,,gold,50,0.0309376487386958,0.7160493827160493,0.0178351783517835,130,4202,0.0,124.5,,,,,,,
rw_citations,combined,hybrid,rw_citations,roundrobin,True,,gold,100,0.0566396953831508,0.9135802469135802,0.038130381303813,238,4202,0.0,124.5,,,,,,,
rerank_bge,combined,hybrid,rewriter,rrf,True,bge,refex,5,0.0291493158834027,0.4935064935064935,0.0,49,1681,0.0,883.3,,,,,,,
rerank_bge,combined,hybrid,rewriter,rrf,True,bge,refex,10,0.0368828078524687,0.4935064935064935,0.0,62,1681,0.0,883.3,,,,,,,
rerank_bge,combined,hybrid,rewriter,rrf,True,bge,refex,20,0.0547293277810826,0.5974025974025974,0.0,92,1681,0.0,883.3,,,,,,,
rerank_bge,combined,hybrid,rewriter,rrf,True,bge,refex,50,0.08982748364069,0.6883116883116883,0.0,151,1681,0.0,883.3,,,,,,,
rerank_bge,combined,hybrid,rewriter,rrf,True,bge,refex,100,0.11540749553837,0.7662337662337663,0.0,194,1681,0.0,883.3,,,,,,,
rerank_bge,combined,hybrid,rewriter,rrf,True,bge,gold,5,0.0283198476915754,0.7901234567901234,0.0325953259532595,119,4202,0.0,883.3,,,,,,,
rerank_bge,combined,hybrid,rewriter,rrf,True,bge,gold,10,0.03998096144693,0.8518518518518519,0.047970479704797,168,4202,0.0,883.3,,,,,,,
rerank_bge,combined,hybrid,rewriter,rrf,True,bge,gold,20,0.059971442170395,0.9382716049382716,0.07380073800738,252,4202,0.0,883.3,,,,,,,
rerank_bge,combined,hybrid,rewriter,rrf,True,bge,gold,50,0.1070918610185625,0.9753086419753086,0.1359163591635916,450,4202,0.0,883.3,,,,,,,
rerank_bge,combined,hybrid,rewriter,rrf,True,bge,gold,100,0.1420752022846263,0.9753086419753086,0.1869618696186961,597,4202,0.0,883.3,,,,,,,
